"STUB_1","4/29/16","4/22/16","Difference","Percent Change","5/1/15","Difference","Percent Change"
"Crude Oil","1,238.502","1,235.721","2.781","0.200","1,177.978","60.524","5.100"
"Commercial (Excluding SPR)","543.394","540.610","2.784","0.500","487.030","56.364","11.600"
"Strategic Petroleum Reserve (SPR)","695.108","695.111","-0.003","0.000","690.948","4.160","0.600"
"Total Motor Gasoline","241.795","241.259","0.536","0.200","227.852","13.943","6.100"
"Reformulated","0.038","0.042","-0.004","-9.500","0.037","0.001","2.700"
"Conventional","24.838","24.370","0.468","1.900","25.920","-1.082","-4.200"
"Blending Components","216.919","216.848","0.071","0.000","201.895","15.024","7.400"
"Fuel Ethanol","22.201","21.629","0.572","2.600","20.762","1.439","6.900"
"Kerosene-Type Jet Fuel","42.156","44.203","-2.047","-4.600","36.520","5.636","15.400"
"Distillate Fuel Oil","156.979","158.240","-1.261","-0.800","130.773","26.206","20.000"
"15 ppm sulfur and Under","138.434","139.202","-0.768","-0.600","114.452","23.982","21.000"
"> 15 ppm to 500 ppm sulfur","6.545","6.763","-0.218","-3.200","6.300","0.245","3.900"
"> 500 ppm sulfur","12.000","12.275","-0.275","-2.200","10.021","1.979","19.700"
"Residual Fuel Oil","42.407","43.571","-1.164","-2.700","38.781","3.626","9.300"
"Propane/Propylene","71.858","71.199","0.659","0.900","66.516","5.342","8.000"
"Other Oils","250.030","248.037","1.993","0.800","241.872","8.158","3.400"
"Unfinished Oils","89.904","89.794","0.110","0.100","85.506","4.398","5.100"
"Total Stocks (Including SPR)","2,065.928","2,063.859","2.069","0.100","1,941.054","124.874","6.400"
"Total Stocks (Excluding SPR)","1,370.820","1,368.748","2.072","0.200","1,250.106","120.714","9.700"
"STUB_1","STUB_2","4/29/16","4/22/16","Difference","5/1/15","Difference","4/29/16","5/1/15","Percent Change","4/29/16","5/1/15","Percent Change"
"Crude Oil Supply ","(1)     Domestic Production","8,825","8,938","-113","9,369","-544","8,923","9,373","-4.8","9,077","9,314","-2.6"
"Crude Oil Supply ","(2)        Alaska","430","513","-83","515","-85","494","514","-3.9","510","505","1.0"
"Crude Oil Supply ","(3)        Lower 48","8,395","8,425","-30","8,854","-459","8,430","8,859","-4.8","8,566","8,809","-2.8"
"Crude Oil Supply ","(4)     Net Imports (Including SPR)","7,270","7,160","110","6,074","1,196","7,470","6,740","10.8","7,453","6,853","8.8"
"Crude Oil Supply ","(5)        Imports","7,660","7,550","110","6,541","1,119","7,834","7,225","8.4","7,849","7,331","7.1"
"Crude Oil Supply ","(6)            Commercial Crude Oil","7,660","7,550","110","6,541","1,119","7,834","7,225","8.4","7,849","7,331","7.1"
"Crude Oil Supply ","(7)            Imports by SPR","0","0","0","0","0","0","0","–","0","0","–"
"Crude Oil Supply ","(8)            Imports into SPR by Others","0","0","0","0","0","0","0","–","0","0","–"
"Crude Oil Supply ","(9)        Exports","390","390","0","467","-77","365","485","-24.8","396","478","-17.3"
"Crude Oil Supply ","(10)   Stock Change (+/build; -/draw)","397","285","112","-555","952","482","166","– –","513","868","– –"
"Crude Oil Supply ","(11)       Commercial Stock Change","398","286","112","-555","953","482","166","– –","513","868","– –"
"Crude Oil Supply ","(12)       SPR Stock Change","0","0","0","0","0","0","0","– –","0","0","– –"
"Crude Oil Supply ","(13)   Adjustment","288","34","254","349","-61","58","213","– –","-74","327","– –"
"Crude Oil Supply ","(14)   Crude Oil Input to Refineries","15,986","15,847","139","16,347","-361","15,970","16,160","-1.2","15,943","15,626","2.0"
"Other Supply ","(15)   Production","5,350","5,345","5","5,132","218","5,391","5,100","5.7","5,489","5,170","6.2"
"Other Supply ","(16)      Natural Gas Plant Liquids","3,303","3,303","0","3,100","203","3,354","3,010","11.4","3,410","3,077","10.8"
"Other Supply ","(17)      Renewable Fuels/Oxygenate Plant","1,019","1,023","-4","933","86","1,012","995","1.7","1,053","1,021","3.2"
"Other Supply ","(18)           Fuel Ethanol","923","927","-4","887","36","932","915","1.8","970","946","2.6"
"Other Supply ","(19)          Other","96","96","0","46","50","80","79","0.9","83","75","10.3"
"Other Supply ","(20)      Refinery Processing Gain","1,028","1,019","9","1,099","-71","1,025","1,096","-6.5","1,025","1,072","-4.3"
"Other Supply ","(21)   Net Imports","-1,410","-1,114","-296","-1,981","571","-1,496","-1,554","– –","-1,932","-1,648","– –"
"Other Supply ","(22)      Imports","2,198","2,494","-296","1,535","663","2,150","2,083","3.2","2,050","2,039","0.6"
"Other Supply ","(23)      Exports","3,608","3,608","0","3,516","92","3,646","3,637","0.3","3,983","3,686","8.0"
"Other Supply ","(24)   Stock Change (+/build; -/draw)","-102","464","-566","1,501","-1,603","11","933","– –","-24","-14","– –"
"Other Supply ","(25)   Adjustment","214","214","0","200","14","219","203","– –","214","212","– –"
"Products Supplied ","(26)   Total","20,242","19,828","413","18,196","2,045","20,071","18,977","5.8","19,738","19,375","1.9"
"Products Supplied ","(27)     Finished Motor Gasoline","9,502","9,315","187","8,785","716","9,474","8,951","5.8","9,213","8,827","4.4"
"Products Supplied ","(28)     Kerosene-Type Jet Fuel","1,786","1,590","196","1,505","282","1,661","1,585","4.8","1,564","1,525","2.6"
"Products Supplied ","(29)     Distillate Fuel Oil","3,946","4,122","-176","3,879","67","4,049","3,884","4.3","3,668","4,030","-9.0"
"Products Supplied ","(30)     Residual Fuel Oil","452","392","60","139","314","358","313","14.2","298","212","40.4"
"Products Supplied ","(31)     Propane/Propylene","1,100","850","250","1,018","82","898","909","-1.2","1,321","1,279","3.3"
"Products Supplied ","(32)     Other Oils","3,455","3,559","-103","2,871","585","3,632","3,336","8.9","3,675","3,502","4.9"
"Net Imports of Crude and Petroleum Products ","(33)   Total","5,860","6,046","-186","4,093","1,767","5,974","5,186","15.2","5,521","5,205","6.1"
